Jugador,categoria,Partidos,Minutos_jugados,Goles,Asistencias,Paradas,Goles_encajados,Tiros,Tiros_a_ puerta,Precision_tiros,Centros,Centros_ precisos,Precision_centros,Tiros_al palo,Corners_forzados,Faltas_recibidas,Faltas_cometidas,Pases_interceptados,Balones_robados,Balones_robado al_ultimo_hombre,Tarjetas_amarillas,Tarjetas_rojas,Penaltis_cometidos,Penaltis_forzados,Penaltis_lanzados,Penaltis_anotados,Penaltis_parados,Goles_en_propia_meta,Tiros_bloqueados,Errores_en_gol_en_contra,Regates_con_exito,Pasesconexito,Precisionpases,Cornerscolgados,Faltascolgadas,Faltascolgadasprecisas,Faltas directas,Faltasdirectasapuerta,Golesdefalta
Eden Hazard,3,11,803,1,2,0,0,13,9,69,16,3,19,0,11,38,12,5,3,0,0,0,0,3,0,0,0,0,0,0,39,15,86,1,0,0,0,0,0
Adnan Januzaj,3,17,804,2,3,0,0,19,5,26,36,9,25,0,8,25,18,3,7,0,2,0,0,0,0,0,0,0,1,0,20,17,68,11,3,0,2,0,0
Pione Sisto,3,20,804,2,0,0,0,27,14,52,37,6,16,0,9,26,8,4,9,0,2,0,0,0,0,0,0,0,0,1,24,9,83,12,6,1,1,0,0
Alfonso Pedraza,2,13,808,0,0,0,0,9,300,33,19,500,26,0,6,14,10,10,13,0,1,0,0,0,0,0,0,0,6,0,13,700,75,0,0,0,0,0,0
Jeison Murillo,2,9,810,0,0,0,0,2,100,50,1,0,0,0,1,10,11,9,12,0,2,0,0,0,0,0,0,0,9,0,1,0,83,0,2,0,0,0,0
Sidnei,2,10,815,1,0,0,0,3,200,67,0,0,0,0,1,4,6,17,11,0,0,0,1,0,0,0,0,0,9,0,4,0,89,0,8,0,0,0,0
Erick Cabaco,2,12,816,0,0,0,0,4,0,0,1,0,0,0,2,7,7,13,8,0,4,0,0,0,0,0,0,0,7,0,4,200,75,0,7,0,0,0,0
Junior Firpo,2,13,819,1,0,0,0,4,100,25,7,300,43,0,4,12,28,13,13,0,3,0,0,0,0,0,0,0,3,1,7,800,89,0,1,0,0,0,0
Thomas Lemar,3,18,838,0,0,0,0,8,2,25,25,9,36,0,1,10,6,6,9,0,1,0,0,0,0,0,0,0,1,0,19,6,83,13,7,1,2,1,0
Samuel Umtiti,2,11,841,0,0,0,0,0,0,0,0,0,0,0,0,14,17,24,4,0,4,0,0,0,0,0,0,0,2,0,8,0,93,0,6,0,0,0,0
